"","STATE","ST_CASE","VE_FORMS","VEH_NO","PER_NO","N_MOT_NO","COUNTY","DAY","MONTH","HOUR","MINUTE","ROAD_FNC","HARM_EV","MAN_COLL","SCH_BUS","MAKE","MAK_MOD","BODY_TYP","MOD_YEAR","VINTYPE","VINMAKE","VINA_MOD","VIN_BT","VINMODYR","VIN_LNGT","VIN_WGT","WGTCD_TR","WHLBS_LG","WHLBS_SH","SER_TR","FUELCODE","MCYCL_DS","TOW_VEH","SPEC_USE","EMER_USE","ROLLOVER","IMPACT1","IMPACT2","FIRE_EXP","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","REST_MIS","AIR_BAG","EJECTION","EJ_PATH","EXTRICAT","DRINKING","ALC_DET","ALC_STATUS","ATST_TYP","ALC_RES","DRUGS","DRUG_DET","DSTATUS","DRUGTST1","DRUGTST2","DRUGTST3","DRUGRES1","DRUGRES2","DRUGRES3","HOSPITAL","DOA","DEATH_DA","DEATH_MO","DEATH_YR","DEATH_HR","DEATH_MN","DEATH_TM","LAG_HRS","LAG_MINS","P_SF1","P_SF2","P_SF3","CERT_NO","WORK_INJ","HISPANIC","RACE","LOCATION"
"140",4,40242,2,1,1,0,13,6,5,12,10,1,12,1,0,76,76706,80,2006,"M","YAMA","YFR","RS",6,17,NA,NA,NA,NA,NA,NA,998,0,0,0,0,12,12,0,28,1,1,4,11,17,0,0,8,0,0,9,9,2,1,21,9,8,2,1,0,0,348,0,0,1,0,8,5,2010,13,59,1359,49,49,0,0,0,"************",0,99,99,0
"141",4,40243,4,1,1,0,5,6,5,22,49,1,12,8,0,20,20481,31,2000,"T","CHEV","SK1","PC",0,17,NA,2,1575,1435,"SIL","G",NA,0,0,0,0,1,12,0,51,1,1,4,11,3,0,1,0,0,1,1,8,2,1,22,0,8,2,1,1,0,402,996,0,0,7,6,5,2010,23,51,2351,1,2,0,0,0,"************",0,99,99,0
"142",4,40250,1,1,1,0,5,8,5,8,35,1,1,0,0,12,12481,31,1999,"T","FORD","F15","PK",99,17,NA,1,1385,1199,"COF","G",NA,0,0,0,1,0,0,0,20,1,1,4,11,7,0,20,1,1,0,8,9,2,1,4,8,8,2,1,1,0,996,996,0,3,0,8,5,2010,9,47,947,1,12,0,0,0,"************",0,99,99,0
"143",4,40320,1,1,1,0,25,10,6,12,48,1,1,0,0,72,72706,80,2004,"M","HD","20C","RS",4,17,NA,NA,NA,NA,NA,NA,1200,0,0,0,0,0,0,0,51,1,1,4,11,17,0,0,8,0,0,9,9,2,1,5,9,8,2,1,1,1,155,996,996,5,0,10,6,2010,14,32,1432,1,44,0,0,0,"************",0,99,99,0
"144",4,40333,1,1,1,0,25,22,6,10,49,1,35,0,0,20,20036,2,2000,"P","CHEV","MLS","CP",0,17,3340,NA,0,1075,NA,"G",NA,0,0,0,1,99,0,0,20,1,1,4,11,7,0,20,1,2,0,9,9,2,1,24,9,8,2,1,1,1,606,695,996,0,7,22,6,2010,11,21,1121,0,32,0,0,0,"************",0,99,99,0
"145",4,40334,1,1,1,0,12,24,6,2,40,1,1,0,0,34,34034,4,1994,"P","BMW","25I","4D",94,17,3164,NA,0,1063,NA,"G",NA,0,0,0,1,0,0,0,26,1,1,3,11,3,0,20,0,0,0,1,9,2,1,4,0,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"146",4,40395,1,1,1,0,3,1,7,1,32,1,35,0,0,12,12481,31,1987,"T","FORD","F25","PS",87,17,NA,2,0,1550,"COF","D",NA,0,0,0,1,99,99,0,37,1,1,4,11,7,0,0,0,0,0,1,5,2,1,23,0,8,0,0,0,0,0,0,0,0,7,1,7,2010,2,6,206,0,34,0,0,0,"************",0,99,99,0
"147",4,40442,1,1,1,0,15,29,8,20,4,1,25,0,0,72,72706,80,2006,"M","HD","FLU","RS",6,17,NA,NA,NA,NA,NA,NA,1450,0,0,0,0,99,99,0,51,1,1,4,11,17,0,0,8,0,0,1,8,2,1,11,0,8,0,0,0,0,0,0,0,0,7,29,8,2010,20,4,2004,0,0,0,0,0,"************",0,99,99,0
"148",4,40474,2,1,1,0,15,13,9,20,7,1,25,0,0,12,12481,31,2003,"T","FORD","F15","4C",3,17,NA,2,1574,1388,"COF","G",NA,0,0,0,1,99,98,1,70,1,1,4,11,3,0,1,0,0,1,1,9,2,1,12,0,8,0,0,0,0,0,0,0,0,7,13,9,2010,20,37,2037,0,30,0,0,0,"************",0,99,99,0
"149",4,40632,1,1,1,0,17,11,12,3,33,1,1,0,0,7,7043,4,2004,"P","DODG","SSE","4D",4,17,3088,NA,0,1080,NA,"G",NA,0,0,0,1,0,99,0,21,1,1,2,11,3,0,20,0,0,0,1,3,2,1,16,1,7,2,1,1,0,606,695,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
